"YearID","Year","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1,2003,,1,,
2,2004,,1,,
3,2005,,1,,
4,2006,,1,,
5,2007,,1,,
6,1968,,1,,
7,1969,,1,,
8,2008,,1,,
9,2009,,1,,
10,2010,,1,,
11,2011,,1,,
12,2012,,1,,
13,2013,,1,,
14,2014,,1,,
15,2015,,1,,
16,2016,,1,,
17,2017,,1,,
18,2018,,1,,
19,2019,,1,,
