"TidalZoneID","TideZone","TideZoneComment","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1,"General_Unspecified",,,1,,
2,"Low","Low-Eulittoral: ""Below Mytilus zone""",,1,,
3,"Mid","Mid-Eulittoral: ""Mussel (Mytilus) or Algae Zone""",,1,,
4,"High","High-Eulittoral: ""Top of mussel or algae zone to top of Barnacle zone""",,1,,
