"CensusID","DateID","SiteID","AreaID","TypeID","CounterID","DielID","TimeStart","TimeEnd","AreaCovered","CensusComments","CensusNum","s_ColLineage","s_Generation","s_GUID","s_Lineage"
399145099,-1584601446,100,37,2,10,1,"1899-12-30 04:43:00","1899-12-30 05:00:00",100,,697,,0,,
469535783,-1584601446,100,22,2,10,1,"1899-12-30 05:04:00","1899-12-30 05:38:00",100,"9+12 unassociated eggs",698,,0,,
1115436927,-1584601446,100,31,2,10,1,"1899-12-30 05:39:00","1899-12-30 06:13:00",100,"4 unassociated eggs",699,,0,,
1109363181,-1584601446,100,24,2,10,1,"1899-12-30 06:23:00","1899-12-30 06:47:00",100,"6 unassociated eggs",700,,0,,
1151716776,-1584601446,100,32,2,10,1,"1899-12-30 06:54:00","1899-12-30 07:30:00",100,"12+7 unassociated eggs",701,,0,,
-1024206990,-810670891,100,34,2,10,1,"1899-12-30 05:27:00","1899-12-30 06:04:00",100,"13+7 unassociated eggs",702,,0,,
678232347,-810670891,100,23,2,10,1,"1899-12-30 06:06:00","1899-12-30 06:47:00",100,,703,,0,,
-1520774056,1496259347,100,39,2,10,1,"1899-12-30 18:18:00","1899-12-30 18:34:00",100,,704,,0,,
-812433163,1496259347,100,38,2,10,1,"1899-12-30 18:35:00","1899-12-30 18:43:00",100,,705,,0,,
-1838117473,1496259347,100,35,2,10,1,"1899-12-30 18:44:00","1899-12-30 18:55:00",100,"5 unassociated eggs",706,,0,,
-130606434,1496259347,100,34,2,10,1,"1899-12-30 18:55:00","1899-12-30 19:21:00",100,,707,,0,,
-1970737439,1496259347,100,32,2,10,1,"1899-12-30 19:22:00","1899-12-30 19:43:00",50,,708,,0,,
678819966,1496259347,100,31,2,10,1,"1899-12-30 19:44:00","1899-12-30 20:03:00",60,,709,,0,,
-564320301,1496259347,100,33,2,10,1,"1899-12-30 20:04:00","1899-12-30 20:19:00",100,,710,,0,,
-572323605,1496259347,100,36,2,10,1,"1899-12-30 20:21:00","1899-12-30 20:35:00",100,,711,,0,,
-779927200,1496259347,100,37,2,10,1,"1899-12-30 20:35:00","1899-12-30 20:45:00",100,,712,,0,,
-507379685,1496259347,100,22,2,10,1,"1899-12-30 20:50:00","1899-12-30 21:07:00",20,"5 unassociated eggs",713,,0,,
469641394,1496259347,100,24,2,10,1,"1899-12-30 21:08:00","1899-12-30 21:23:00",100,,714,,0,,
-569019326,1496259347,100,26,2,10,1,"1899-12-30 21:24:00","1899-12-30 21:39:00",100,,715,,0,,
-2053041316,1496259347,100,25,2,10,1,"1899-12-30 21:40:00","1899-12-30 21:51:00",100,,716,,0,,
188238593,1496259347,100,27,2,10,1,"1899-12-30 21:51:00","1899-12-30 21:58:00",100,,717,,0,,
-2100009958,1496259347,100,30,2,10,1,"1899-12-30 21:59:00","1899-12-30 22:05:00",100,,718,,0,,
1524102925,1496259347,100,23,2,2055687875,1,"1899-12-30 21:07:00","1899-12-30 22:00:00",,,719,,0,,
867768013,-1818190468,100,29,2,2055687875,1,"1899-12-30 20:00:00","1899-12-30 20:00:00",,,720,,0,,
-1853576474,-1818190468,100,28,2,2055687875,1,"1899-12-30 20:00:00","1899-12-30 20:00:00",,,721,,0,,
