"SeasonID","Season","Months","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1,"Winter","Dec-Feb",,1,,
2,"Spring","March-May",,1,,
3,"Summer","Jun-Aug",,1,,
4,"Fall","Sept-Nov",,1,,
