"RepeatObsID","RepeatObs","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1,"1st obs or unknown identity",,1,,
2,"2nd obs",,1,,
3,"3rd obs",,1,,
4,"4th obs",,1,,
