"ShellColourID","ShellColour","DisplayOrder","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1,"Unspecified",1,,1,,
2,"Dark",2,,12,,
1410564516,"Dark-Black",3,,12,,
-2098781739,"Dark-Brown",4,,12,,
-1220128654,"Dark-Grey",5,,12,,
-970813429,"White",6,,12,,
-314756112,"Orange",7,,12,,
-60047055,"Striped",8,,12,,
1170406302,"Striped-equal",9,,12,,
-1026150713,"Striped-dark",10,,12,,
-1133706500,"Striped-white",11,,12,,
